,Product title,Price,Deal image url,Recent sales,Description,Product rating,Seller location,Seller Rating,Product category
2,Caminadora Eléctrica Portable,939900,https://http2.mlstatic.com/D_NQ_NP_909227-MCO49256616929_032022-O.webp,3460,"Obsequio: POR OFERTA LIMITADA PORTA CELULAR
LUBRICACION POR ACEITE (NO INCLUIDO)

La CAMINADORA TROTADORA es la mejor opción para lograr resultados positivos, si su objetivo es: Bajar de peso, Tonificar, entrenar desde casa y tener una Vida Saludable. Con la Trotadora aumentará toda su capacidad cardiopulmonar mejorando su calidad de vida en grandes proporciones. La sensación al correr en esa trotadora será de plenitud y confianza al sentir la calidad de sus componentes y ergonomía.

ESTA TROTADORA se encarga de diseñar comodidad y seguridad. Tiene sistema de lubricacion , Diseño plegable para ahorrar espacio

ESPECIFICACIONES TÉCNICAS

Energía: 110 / 220V
Rango de velocidad: 1-10 km / h
Panel: velocidad, tiempo,
Superficie para caminar: 1000x380 mm
Tamaño de montaje: L1200 x W560 x H1100 mm
Tamaño de la caja: L1230 x W630 x H210 mm
Embalaje: 1pcs / carton
Potencia máxima: 500 W
Capacidad de peso USUARIO : 130 kg
N.W / G.W: 24/23 kg

OJO PARA TENER CUENTA!!!
EL TABLERO DE LA TROTADORA GIRA (DA VUELTAS) NO LO HAGA!!!
YA QUE SI LO HACE AL CABLE QUE VA INTERNO SE DESCONECTARA HACIENDO QUE NO LE LLEGUE CORRIENTE Y ESTO HARA QUE NO PRENDA Y DEJE DE FUNCIONAR ESTO ES MALA MANIPULACION
NO LO HAGA!!! GRACIAS
",NaN,NaN,MercadoLíder Platinum,Deportes y Fitness
3,Bicicleta Estatica Spinning + Bandas Elasticas Gym,659900,https://http2.mlstatic.com/D_NQ_NP_667806-MCO49915058899_052022-O.webp,3462,"BICICLETA ESTATICA SPINNING GIMNASIO + OBSEQUIO
• 1 KIT BANDAS ELÁSTICAS PARA EJERCICIO.

¡APROVECHA! ¡GRAN OFERTA BICICLETA ESTÁTICA + 1 KIT DE BANDAS ELÁSTICAS PARA EJERCICIO TOTALMENTE GRATIS!

El Spinning es un método efectivo para fortalecer la musculatura y bajar de peso. La bicicleta de spinning es una de las máquinas de gimnasio que más se usan por lo divertido que puede llegar a ser y la gran cantidad de calorías que podemos llegar a quemar.

Las sesiones de spinning combinan entrenamiento aeróbico y anaeróbico gracias a los cambios de ritmo, lo cual es beneficioso para nuestro corazón. Las sesiones, generalmente de 45 minutos de duración, se centran en el trabajo de piernas y glúteos, consiguiendo unos músculos más fuertes y eficientes.

Volante ajustable
Transmisión de correa
Cuadro en acero
Manillar y sillín ajustables
Sin ningún tipo de monitor

BICICLETA DE EXCELENTE CALIDAD.

Garantía solo en marco no cubre en accesorios como galápago, pedales, bielas y demás, ni mala manipulación por parte del usuario.
Es plenamente responsabilidad del cliente armar correctamente el producto (ya que por ser un producto nuevo no va armado) y realizar los mantenimientos preventivos según su uso. Somos exonerados por cualquier tipo de reclamación por mal uso o mal armado del producto.
",NaN,NaN,MercadoLíder Platinum,Deportes y Fitness
4,Tenis Running Reebok Lite 3 - Negro,209900,https://http2.mlstatic.com/D_NQ_NP_799439-MCO50098516934_052022-O.webp,2813,"Nadie dice que no puedas usar tus tenis de running para el plan que venga después de entrenar. Y estos tenis de running Reebok son la perfecta prueba de ello. La suela exterior ligera te brinda amortiguación premium desde el primer paso. Y si quieres llevarlos al almuerzo con tus amigos, adelante. Sentirás la comodidad todo el día, sin importar donde estés.
",4.8,NaN,MercadoLíder Platinum,Ropa y Accesorios
5,Rodillera Ortopedica Compresion Ejercicio Elastica Lesion,14155,https://http2.mlstatic.com/D_NQ_NP_822756-MCO46824718869_072021-O.webp,1496,"El vendedor no incluyó una descripción del producto
",NaN,NaN,MercadoLíder Platinum,Deportes y Fitness
6,Cuchillo Táctico Camping Supervivencia Pesca + Estuche Rambo,17900,https://http2.mlstatic.com/D_NQ_NP_929524-MCO47876097139_102021-O.webp,2162,"----------------------------------------------------------------------
>>>>>>>>>>>>> CompraloEnCasa <<<<<<<<<<<<<
----------------------------------------------------------------------

Descripción del Producto

Este cuchillo es ideal para el uso al aire libre como campamento, supervivencia y rescate. Este cuchillo tiene las cualidades de un gran cuchillo de combate, es muy liviano y cuenta con un práctico estuche.

Características

• Material: Acero inoxidable y plástico.
• Tamaño producto: 31 x 3.5 x 2.5 cm.
• Tamaño empaque: 33 x 5 x 4 cm.
• Peso estuche y cuchillo: 188 g.
• Peso Aprox. empaque: 195 g.
• Longitud de la hoja: 18 cm.
• Longitud del mango: 12.5
• Ancho de la hoja: 3.7 (en el punto más ancho)
• Hoja de espesor: 0.3 mm.
• Viene con funda en nylon para fácil transporte.
• Con un diseño elegante, resistente y liviano.
• En el mango cuenta con rompe vidrios y una brújula decorativa.

Contenido del paquete

• 1 Cuchillo táctico.
• 1 Estuche en Nylon.
• 100 % Nuevo

Por favor resuelva todas sus dudas antes de ofertar, esto facilitara nuestro trabajo y podrá recibir el producto tal y como lo desea.
Estaremos siempre atentos a resolver sus inquietudes.
",4.5,NaN,MercadoLíder Platinum,Navajas y Cuchillos
7,Rueda Abdominal Entrenamiento Gym Ruletina Tonifica Profit,24605,https://http2.mlstatic.com/D_NQ_NP_656416-MCO43519673060_092020-O.webp,584,"Rueda abdominal profit

.......................
Especial para trabajo de abdomen, brazos, hombros, espalda y cintura.
Adelgaza y tonifica la cintura.
Ruedas plásticas de alta resistencia moldeadas.
Barra de acero con agarres antideslizantes confortables.
Fácil de guardar y transportar
Peso usuario 150 Kg.
Uso: Institucional.
Dimensiones:
Rueda: 18.5 cm de diámetro.
BENEFICIOS: FORTALECE ES SISTEMA CARDIOVASCULAR, MEJORA LA CIRCULACIÓN SANGUÍNEA
ELIMINA LOS EXCESOS DE GRASA DEL CUERPO.
*****************************************************
PREGUNTAS FRECUENTES

COMO SABEMOS QUE LLEGARA A TIEMPO NUESTRO PRODUCTO?
En el encabezado de tu compra escontraras el tiempo de llegada despues de tu compra, tambien veras la calificacion por tiempos de envio y te dara seguridad de la llegada oportuna de tu producto.


PORQUE MEDIO DE PAGO REALIZO MI COMPRA?

Puedes dar click en compra y versas las opciones de pago que hay disponibles, recuerda que todo pago se hara por medio de MERCADOPAGO, tu dinero estara 100% protegido hasta que llegue tu producto , recuerda que realizando tus pagos por mercadopago tendras total seguridad de tu compra.

COMO SE QUE ME LLEGARA EL PRODUCTO QUE COMPRE?

Puedes verificar antes de la compra el compromiso que tenemos en envios visitando nuestra calificacion por nuestros compradores y te dara confiabilidad, somos una tienda enfocada en el servicio y calidad de nuestros productos .


SI TIENES ALGUNA DUDA CONTACTANOS POR EL CHAT Y CON GUSTO ATENDEREMOS TUS INQUIETUDES..
",4.0,NaN,MercadoLíder Platinum,Deportes y Fitness
0,Bicicleta Scott Aspect 960 Mtb Tourney 8v Biplato Aluminio,2339991,https://http2.mlstatic.com/D_NQ_NP_657063-MCO45216437502_032021-O.webp,772,"Bienvenido a Nuestra Tienda Mega Virtual
Distribuidor Autorizado Gw Scott Shimano Optimus Profit Orbea Ontrail Lazer MAxxis Victoria
Tienda Física Megabikes en Barranquilla Frente al Cc Portal del Prado
Compra Garantizada por 30 días, Sino te gusta el producto o no es lo que pediste, devuélvelo con gusto te regresamos tu dinero

La Aspect 960 de SCOTT es una bicicleta de montaña rígida sin suspensión trasera, diseñada para ser ligera, eficaz y con un precio razonable. Los frenos son de disco y los componentes de Syncros. Es el modelo perfecto para principiantes o para usuarios de bicicleta de montaña que se guíen por el presupuesto.

ESPECIFICACIONES
ASPECT 960-2021

MARCO: Aspect serie 960 / Aleación 6061 Tubería personalizada, BSA73 / Enrutamiento interno de cables / colgador reemplazable.
HORQUILLA: Suntour XCE28, 100 mm de recorrido.
DESVIADOR TRASERO: Shimano Tourney RD-TX800, 16 Speed.
DESVIADOR DELANTERO: Shimano FD-M315-TS / 31.8mm.
MANETAS: Shimano SL-M315, R-fire plus / 2-way release, w / gear Indicador.
FRENOS: Tektro HDM275 Hydr. Disco, Tektro / 6 pernos / F&R 160 mm.
BIPLATO: Prowheel TM-CY01, 36X22
CASSETTE: Sunrace CSM55 8AV / 11-34T.
RIN: Syncros X-20 Disc, 32H / negras.
LLANTAS: Kenda Booster, 2.4” / 30TPI.
PESO APROX.: 14.60
",NaN,NaN,MercadoLíder Platinum,Bicicletas
1,Tenis De Training Ua Charged Aurora 2 Para Mujer Under Armou,239920,https://http2.mlstatic.com/D_NQ_NP_925463-MCO49983240886_052022-O.webp,NaN,"Tenis para mujer color rosado Under Armour. 60% Textil,40% Sintético

* Tenis para mujer color rosado Under Armour. 60% Textil,40% Sintético
",NaN,NaN,NaN,Ropa y Accesorios
2,Camiseta Hombre Nike Df Miler Top Ls,148707,https://http2.mlstatic.com/D_NQ_NP_885824-MCO49330519667_032022-O.webp,1896,"PRODUCTO:

Nombre: Camiseta Hombre Nike Df Miler Top Ls
Marca: Nike

DESCRIPCIÓN:

- Modelo: CU5989-010
- Nombre Articulo: Df Miler Top Ls
- Categoría: Running
- Color: Black/(Reflective Silv)
- Genero: Hombre

MÁS DETALLES:

Peso del paquete: 0.5 kg
Medidas: 3 x 28 x 40 cm
Material: Poliester
Modelo: CU5989-010
Meses de garantía: 2
Garantía: SI
Condición: Nuevo
Género: Masculino
SKU: 115190001891
",NaN,NaN,MercadoLíder Platinum,Camisetas y Polos
3,Multifuerza / Multi Gimnasio 100 Lbs Entrega Inmediata,1859900,https://http2.mlstatic.com/D_NQ_NP_743354-MCO49061291667_022022-O.webp,2123,"!ESTE MODELO TIENE 140 LIBRAS DE PESO!

DESCRIPCIÓN:

• Linea: Hogar.
• Estructura: Metálica de alta resistencia
•carga total de 140 lb, unidad de peso por placa 10 lb,
•pintura electroestática
•poleas de hierro
•cables de hierro trenzado.
• Funciones: Polea alta, polea baja, banda de pectorales (peck-deck), banda de pectorales vertical, extensión y flexión de piernas.
• Peso del producto: 99 kg.
• Dimensiones: 163 x 117 x 213 cm.

Realizar actividades con los equipos multi-fuerzas brinda fortalecimiento y tonificación de los músculos del cuerpo, dependiendo del equipo adquirido se pueden trabajar las distintas áreas del cuerpo, para brindar un ejercicio integro o enfocado en las áreas especificas que la persona desee trabajar.

Barra tradicional para trabajar pecho y pectorales. Permite la realización de 18 ejercicios básicos que fortalecen los principales grupos musculares y 23 variaciones de las rutinas de entrenamiento.

MÁS DETALLES:

Peso del paquete: 90 kg
Garantía: Home Sale S.A.S ofrece 3 meses de garantía por el producto.
Condición: Nuevo
SKU: HS-15503
",NaN,NaN,MercadoLíder Platinum,Deportes y Fitness
4,Tenis Lifestyle adidas Advantage Base - Negro,229990,https://http2.mlstatic.com/D_NQ_NP_762654-MCO50098541000_052022-O.webp,2813,"Un estilo favorito de las canchas de tenis se toma las calles. Estos tenis presentan un exterior de cuero sintético con las 3 Rayas perforadas. Combina una silueta de corte bajo y una suela de caucho tipo cupsole que realza este diseño elegante y discreto.
",4.7,NaN,MercadoLíder Platinum,Ropa y Accesorios
